City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Xichang,27.88,54.45,95,100,1.01
Bulungu,-4.54,77.85,72,7,7.43
Rikitea,-23.12,72.09,87,100,9.24
Severo-Kurilsk,50.68,50.49,95,100,12.91
Novoagansk,61.94,47.43,94,82,6.4
Vaini,15.34,75.15,96,100,3.71
Ahipara,-35.17,62.01,100,93,12.12
Barrow,-38.31,43.47,64,32,17.72
Castelo do Piaui,-5.32,93.87,30,88,4.25
Longyearbyen,78.22,33.8,98,90,8.05
Sao Joao da Barra,-21.64,77.0,78,20,9.17
Delhi,28.65,87.8,83,75,4.7
Bredasdorp,-34.53,57.69,67,25,5.82
Albany,42.65,73.69,50,40,5.82
Kapaa,22.08,84.92,58,40,10.29
Saint-Pierre,48.95,53.87,72,0,5.82
Leeton,-34.55,42.19,80,0,3.31
Ancud,-41.87,51.8,50,0,8.05
New Norfolk,-42.78,50.25,61,20,6.93
Mahebourg,-20.41,70.65,73,75,2.24
Hithadhoo,-0.6,82.71,77,0,11.61
Airai,-8.93,63.99,79,0,4.7
Nizhniy Kuranakh,58.84,45.81,96,73,2.93
Mataura,-46.19,46.0,95,100,1.99
Portland,43.66,67.48,72,40,9.17
Seoul,37.57,71.42,94,90,2.24
Port Hedland,-20.31,59.0,100,90,4.7
Taranagar,28.67,94.05,50,34,7.4
Hasaki,35.73,70.45,94,75,6.93
Baijiantan,45.63,68.13,35,34,1.72
Victoria,5.28,79.83,88,75,9.33
Lata,30.78,40.95,94,80,0.81
Kruisfontein,-34.0,51.57,92,1,8.01
Mount Gambier,-37.83,48.2,100,90,10.29
Ushuaia,-54.81,35.6,74,40,16.11
Cockburn Town,21.46,84.15,74,0,13.27
Hailar,49.2,58.23,84,97,3.67
Touros,-5.2,77.0,83,20,5.82
Maniitsoq,65.42,47.25,86,100,24.67
El Vigia,26.85,91.99,64,100,15.01
Hilo,19.71,81.64,58,40,8.05
Byron Bay,-28.65,56.03,82,0,2.08
Sorong,-0.86,72.99,97,100,3.98
Bintulu,3.17,80.2,94,75,2.24
Yumen,40.29,69.03,31,43,6.96
Saskylakh,71.97,43.11,78,100,10.11
Juneau,58.3,62.6,72,75,1.63
Punta Arenas,-53.16,42.04,45,20,9.17
Ugoofaaru,5.67,81.99,78,100,9.84
Jamestown,-33.21,53.73,50,45,2.46
Tasiilaq,65.61,42.8,57,26,1.12
Dharangaon,21.01,76.59,88,100,6.85
Deputatskiy,69.3,40.23,62,0,3.13
Busselton,-33.64,45.97,61,31,29.95
Castro,-42.48,51.8,50,0,8.05
Eyemouth,55.87,58.41,97,100,8.99
Khatanga,71.98,43.83,85,94,9.69
Ruzomberok,49.07,48.33,81,0,2.82
Qaanaaq,77.48,34.11,51,28,6.8
Ponta do Sol,-20.63,79.47,35,86,1.5
Kawalu,-7.38,64.35,94,100,3.4
Ocampo,27.32,75.15,50,79,18.7
Nikolskoye,59.7,55.87,93,75,2.24
Saint-Augustin,45.63,64.8,59,75,4.7
Urengoy,65.96,47.79,92,100,7.81
Apodi,-5.66,79.83,62,99,17.96
Belaya Gora,68.54,49.05,45,0,8.23
Yovon,38.32,65.46,52,0,4.47
Puerto Ayora,-0.74,75.81,65,20,9.17
Aykhal,65.95,37.4,86,40,2.24
Souillac,45.6,63.28,55,0,2.24
Katsuura,33.93,75.61,94,75,6.93
Cabo San Lucas,22.89,86.94,55,20,12.75
Cape Town,-33.93,59.61,82,75,12.75
Jawhar,19.91,76.41,94,100,5.68
Saint George,39.45,71.01,68,20,1.79
Chipinge,-20.19,63.27,69,0,6.8
Ketchikan,55.34,59.25,93,75,3.36
Chokurdakh,70.62,40.59,75,0,9.28
Puerto Madero,-34.61,51.49,24,0,8.05
Malanje,-9.54,74.43,56,1,8.05
Along,28.17,59.85,97,100,2.59
Hermanus,-34.42,55.78,90,33,3.36
Lensk,60.71,45.09,89,61,6.8
Salalah,17.01,78.8,100,90,1.12
Atuona,-9.8,79.29,76,0,14.32
Saint Lawrence,36.06,78.6,83,20,17.22
Upernavik,72.79,39.69,52,0,9.06
Muros,42.77,67.86,68,0,4.7
Ribeira Grande,38.52,69.8,68,40,8.05
Vrangel,42.73,58.05,93,0,2.66
Soyo,-6.13,72.99,86,29,9.62
Lorengau,-2.02,79.83,83,44,6.55
Avarua,-21.21,75.2,57,35,10.29
Saint Albans,44.81,65.8,60,1,4.27
Bafoulabe,13.81,81.09,68,9,3.89
Pimentel,-3.7,83.43,68,57,2.75
Tual,-5.67,75.69,80,29,16.06
Kaitangata,-46.28,48.99,70,100,4.0
Sao Jose da Coroa Grande,-8.9,71.01,91,0,4.36
Kalevala,64.12,51.03,84,100,4.27
Morden,49.19,57.88,71,90,16.11
Basingstoke,51.26,60.73,87,75,9.17
Butaritari,3.07,84.15,65,67,3.29
Corning,42.14,74.35,57,20,8.05
Codrington,-28.95,49.42,93,0,9.17
Flinders,-34.58,53.47,87,0,4.7
Port-Gentil,-0.72,77.0,88,75,10.29
Aberdeen,46.98,71.28,77,75,11.41
Kampot,10.62,77.76,88,75,14.99
Bluff,-23.58,63.63,36,88,2.33
Nanae,41.94,59.0,87,40,6.93
Faanui,-16.48,77.68,84,52,18.39
Polson,47.69,82.58,21,1,4.7
Esperance,-33.86,46.4,81,0,12.75
Ixtapa,20.71,92.32,63,20,6.93
Abnub,27.27,82.4,42,0,8.05
Margate,-43.03,50.25,61,20,6.93
Taoudenni,22.68,100.18,22,31,21.81
Port Alfred,-33.59,60.01,84,0,3.0
Axim,4.87,76.05,90,34,7.78
Abay,49.63,46.4,93,40,4.47
Lityn,49.32,54.27,87,100,10.25
Tecpan,14.76,66.85,73,40,9.17
Pilar,-34.46,51.04,27,0,11.41
Kemise,10.72,49.23,88,35,1.43
Norman Wells,65.28,53.6,87,75,3.36
Pevek,69.7,37.53,84,0,3.04
Nhulunbuy,-12.18,68.0,88,53,3.36
Wexford,40.63,80.01,57,1,10.29
